name,team,position,injury_status,injured,total_gp,total_gs,total_min,total_mpg,total_fpts,total_favg,l30_gp,l30_gs,l30_min,l30_mpg,l30_fpts,l30_favg,l15_gp,l15_gs,l15_min,l15_mpg,l15_fpts,l15_favg,l7_gp,l7_gs,l7_min,l7_mpg,l7_fpts,l7_favg,total_gp_ratio,l30_gp_ratio,l15_gp_ratio,l7_gp_ratio,total_gs_ratio,l30_gs_ratio,l15_gs_ratio,l7_gs_ratio,total_min_ratio,l30_min_ratio,l15_min_ratio,l7_min_ratio,total_mpg_ratio,l30_mpg_ratio,l15_mpg_ratio,l7_mpg_ratio,total_fpts_ratio,l30_fpts_ratio,l15_fpts_ratio,l7_fpts_ratio,total_favg_ratio,l30_favg_ratio,l15_favg_ratio,l7_favg_ratio
Ty Jerome,OKC,PG,ACTIVE,False,35,3,542,15,523,14,13,2,241,18,247,19,6,0,103,17,93,15,3,0,58,19,46,15,0.81,0.81,0.75,0.6,0.09,0.18,0.0,0.0,0.58,0.7,0.55,0.55,0.42,0.5,0.41,0.7,0.74,0.82,0.53,0.47,0.52,0.59,0.27,0.43
Dalano Banton,TOR,PG,ACTIVE,False,33,1,388,11,361,10,6,1,46,7,24,4,2,0,8,4,1,0,1,0,6,6,1,1,0.77,0.38,0.25,0.2,0.03,0.09,0.0,0.0,0.42,0.13,0.04,0.06,0.31,0.19,0.1,0.22,0.51,0.08,0.01,0.01,0.37,0.12,0.0,0.03
Kevin Knox II,ATL,SF,ACTIVE,False,14,0,114,8,113,8,6,0,43,7,36,6,4,0,10,2,6,1,1,0,3,3,3,3,0.33,0.38,0.5,0.2,0.0,0.0,0.0,0.0,0.12,0.13,0.05,0.03,0.22,0.19,0.05,0.11,0.16,0.12,0.03,0.03,0.3,0.19,0.02,0.09
Jose Alvarado,NOP,PG,ACTIVE,False,18,0,167,9,167,9,10,0,127,12,121,12,7,0,102,14,113,16,3,0,51,17,53,17,0.42,0.62,0.88,0.6,0.0,0.0,0.0,0.0,0.18,0.37,0.55,0.49,0.25,0.33,0.34,0.63,0.24,0.4,0.64,0.54,0.33,0.38,0.29,0.49
Udonis Haslem,MIA,PF,ACTIVE,False,8,0,52,6,68,8,2,0,23,11,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.0,0.17,0.31,0.0,0.0,0.1,0.13,0.0,0.0,0.3,0.62,0.0,0.0
Zeke Nnaji,DEN,PF,ACTIVE,False,27,0,405,15,419,15,10,0,153,15,156,15,7,0,108,15,130,18,3,0,47,15,50,16,0.63,0.62,0.88,0.6,0.0,0.0,0.0,0.0,0.44,0.45,0.58,0.45,0.42,0.42,0.37,0.56,0.59,0.51,0.73,0.51,0.56,0.47,0.32,0.46
Denzel Valentine,UTA,SG,ACTIVE,False,24,0,224,9,187,7,5,0,95,19,97,19,2,0,19,9,12,6,1,0,2,2,2,2,0.56,0.31,0.25,0.2,0.0,0.0,0.0,0.0,0.24,0.28,0.1,0.02,0.25,0.53,0.22,0.07,0.26,0.32,0.07,0.02,0.26,0.59,0.11,0.06
Davon Reed,DEN,SG,ACTIVE,False,18,2,300,16,256,14,12,0,199,16,164,13,6,0,88,14,79,13,3,0,61,20,45,15,0.42,0.75,0.75,0.6,0.06,0.0,0.0,0.0,0.32,0.58,0.47,0.58,0.44,0.44,0.34,0.74,0.36,0.54,0.45,0.46,0.52,0.41,0.23,0.43
Marcus Zegarowski,BKN,PG,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Reed,PHL,PF,ACTIVE,False,21,2,183,8,188,8,6,0,42,7,32,5,2,0,5,2,2,1,1,0,4,4,2,2,0.49,0.38,0.25,0.2,0.06,0.0,0.0,0.0,0.2,0.12,0.03,0.04,0.22,0.19,0.05,0.15,0.27,0.11,0.01,0.02,0.3,0.16,0.02,0.06
Isaac Bonga,TOR,SF,ACTIVE,False,12,0,62,5,38,3,1,0,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.0,0.0,0.14,0.11,0.0,0.0,0.05,0.01,0.0,0.0,0.11,0.09,0.0,0.0
Michael Carter-Williams,ORL,PG,OUT,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan McLaughlin,MIN,PG,OUT,True,28,2,314,11,241,8,8,2,96,12,85,10,2,0,8,4,5,2,0,0,0,0,0,0,0.65,0.5,0.25,0.0,0.06,0.18,0.0,0.0,0.34,0.28,0.04,0.0,0.31,0.33,0.1,0.0,0.34,0.28,0.03,0.0,0.3,0.31,0.04,0.0
Wang Zhelin,MEM,C,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duane Washington Jr.,IND,PG,ACTIVE,False,14,7,273,19,213,15,11,7,266,24,204,18,6,3,117,19,88,14,3,1,48,16,27,9,0.33,0.69,0.75,0.6,0.22,0.64,0.5,0.33,0.29,0.78,0.63,0.46,0.53,0.67,0.46,0.59,0.3,0.67,0.5,0.28,0.56,0.56,0.25,0.26
Sandro Mamukelashvili,MIL,C,ACTIVE,False,23,2,268,11,252,10,6,0,70,11,67,11,4,0,44,11,38,9,0,0,0,0,0,0,0.53,0.38,0.5,0.0,0.06,0.0,0.0,0.0,0.29,0.2,0.24,0.0,0.31,0.31,0.27,0.0,0.36,0.22,0.21,0.0,0.37,0.34,0.16,0.0
Isaiah Joe,PHL,SG,ACTIVE,False,29,0,349,12,246,8,10,0,126,12,98,9,6,0,78,13,47,7,4,0,46,11,21,5,0.67,0.62,0.75,0.8,0.0,0.0,0.0,0.0,0.38,0.37,0.42,0.44,0.33,0.33,0.32,0.41,0.35,0.32,0.27,0.21,0.3,0.28,0.12,0.14
Frank Ntilikina,DAL,PG,ACTIVE,False,36,5,459,12,375,10,14,4,177,12,145,10,8,0,40,5,43,5,5,0,21,4,16,3,0.84,0.88,1.0,1.0,0.16,0.36,0.0,0.0,0.49,0.52,0.22,0.2,0.33,0.33,0.12,0.15,0.53,0.48,0.24,0.16,0.37,0.31,0.09,0.09
Jevon Carter,BKN,PG,ACTIVE,False,34,1,390,11,268,7,7,0,75,10,65,9,4,0,40,10,30,7,1,0,2,2,3,3,0.79,0.44,0.5,0.2,0.03,0.0,0.0,0.0,0.42,0.22,0.22,0.02,0.31,0.28,0.24,0.07,0.38,0.21,0.17,0.03,0.26,0.28,0.12,0.09
Rodney Hood,MIL,SG,ACTIVE,False,34,0,536,15,334,9,10,0,158,15,86,8,5,0,79,15,41,8,1,0,8,8,2,2,0.79,0.62,0.62,0.2,0.0,0.0,0.0,0.0,0.58,0.46,0.42,0.08,0.42,0.42,0.37,0.3,0.47,0.28,0.23,0.02,0.33,0.25,0.14,0.06
Maurice Harkless,SAC,SF,ACTIVE,False,30,14,550,18,326,10,8,0,114,14,89,11,3,0,34,11,32,10,1,0,19,19,14,14,0.7,0.5,0.38,0.2,0.44,0.0,0.0,0.0,0.59,0.33,0.18,0.18,0.5,0.39,0.27,0.7,0.46,0.29,0.18,0.14,0.37,0.34,0.18,0.4
Jordan Bell,CHI,C,ACTIVE,False,1,0,2,2,2,2,1,0,2,2,2,2,1,0,2,2,2,2,0,0,0,0,0,0,0.02,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.06,0.06,0.05,0.0,0.0,0.01,0.01,0.0,0.07,0.06,0.04,0.0
Alize Johnson,WAS,PF,ACTIVE,False,18,0,138,7,149,8,3,0,18,6,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.19,0.17,0.0,0.0,0.21,0.1,0.0,0.0,0.3,0.28,0.0,0.0
Jaden Springer,PHL,PG,ACTIVE,False,2,0,6,3,9,4,1,0,4,4,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.08,0.11,0.0,0.0,0.01,0.03,0.0,0.0,0.15,0.28,0.0,0.0
JT Thor,CHA,PF,ACTIVE,False,10,0,109,10,76,7,3,0,14,4,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.0,0.0,0.28,0.11,0.0,0.0,0.11,0.03,0.0,0.0,0.26,0.09,0.0,0.0
Justin Jackson,PHO,SF,ACTIVE,False,4,0,25,6,30,7,4,0,25,6,30,7,2,0,15,7,26,13,0,0,0,0,0,0,0.09,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.08,0.0,0.17,0.17,0.17,0.0,0.04,0.1,0.15,0.0,0.26,0.22,0.23,0.0
Brad Wanamaker,WAS,PG,ACTIVE,False,23,2,319,13,245,10,3,1,45,15,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.19,0.0,0.0,0.06,0.09,0.0,0.0,0.34,0.13,0.0,0.0,0.36,0.42,0.0,0.0,0.35,0.11,0.0,0.0,0.37,0.34,0.0,0.0
Brandon Goodwin,CLE,PG,ACTIVE,False,8,0,128,16,142,17,8,0,128,16,142,17,5,0,59,11,72,14,4,0,45,11,64,16,0.19,0.5,0.62,0.8,0.0,0.0,0.0,0.0,0.14,0.37,0.32,0.43,0.44,0.44,0.27,0.41,0.2,0.47,0.41,0.65,0.63,0.53,0.25,0.46
Dylan Windler,CLE,SF,ACTIVE,False,30,0,325,10,267,8,10,0,121,12,106,10,7,0,82,11,74,10,3,0,50,16,39,13,0.7,0.62,0.88,0.6,0.0,0.0,0.0,0.0,0.35,0.35,0.44,0.48,0.28,0.33,0.27,0.59,0.38,0.35,0.42,0.4,0.3,0.31,0.18,0.37
Matt Thomas,CHI,SG,ACTIVE,False,20,0,232,11,182,9,12,0,184,15,153,12,7,0,98,14,96,13,4,0,82,20,68,17,0.47,0.75,0.88,0.8,0.0,0.0,0.0,0.0,0.25,0.54,0.53,0.78,0.31,0.42,0.34,0.74,0.26,0.5,0.54,0.69,0.33,0.38,0.23,0.49
Neemias Queta,SAC,C,ACTIVE,False,6,0,41,6,48,8,4,0,31,7,34,8,4,0,31,7,34,8,1,0,5,5,9,9,0.14,0.25,0.5,0.2,0.0,0.0,0.0,0.0,0.04,0.09,0.17,0.05,0.17,0.19,0.17,0.19,0.07,0.11,0.19,0.09,0.3,0.25,0.14,0.26
Udoka Azubuike,UTA,C,ACTIVE,False,7,1,51,7,39,5,3,1,43,14,29,9,2,0,27,13,20,10,1,0,11,11,9,9,0.16,0.19,0.25,0.2,0.03,0.09,0.0,0.0,0.05,0.13,0.15,0.1,0.19,0.39,0.32,0.41,0.06,0.1,0.11,0.09,0.19,0.28,0.18,0.26
Charles Bassey,PHL,C,ACTIVE,False,21,0,151,7,226,10,8,0,36,4,60,7,5,0,16,3,23,4,2,0,8,4,11,5,0.49,0.5,0.62,0.4,0.0,0.0,0.0,0.0,0.16,0.11,0.09,0.08,0.19,0.11,0.07,0.15,0.32,0.2,0.13,0.11,0.37,0.22,0.07,0.14
Tre Jones,SAS,PG,ACTIVE,False,36,2,453,12,470,13,8,2,142,17,148,18,1,0,11,11,11,11,1,0,11,11,11,11,0.84,0.5,0.12,0.2,0.06,0.18,0.0,0.0,0.49,0.42,0.06,0.1,0.33,0.47,0.27,0.41,0.66,0.49,0.06,0.11,0.48,0.56,0.2,0.31
JJ Redick,DAL,SG,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Woodard II,SAC,SF,ACTIVE,False,8,0,15,1,8,1,5,0,8,1,5,1,2,0,2,1,2,1,0,0,0,0,0,0,0.19,0.31,0.25,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.0,0.03,0.03,0.02,0.0,0.01,0.02,0.01,0.0,0.04,0.03,0.02,0.0
Aron Baynes,TOR,C,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cassius Winston,WAS,PG,ACTIVE,False,2,0,7,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.0
Tyler Cook,CHI,PF,ACTIVE,False,9,0,94,10,96,10,5,0,58,11,67,13,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.17,0.0,0.0,0.28,0.31,0.0,0.0,0.14,0.22,0.0,0.0,0.37,0.41,0.0,0.0
Elijah Hughes,UTA,SG,ACTIVE,False,10,1,61,6,60,6,4,1,45,11,58,14,1,1,41,41,56,56,0,0,0,0,0,0,0.23,0.25,0.12,0.0,0.03,0.09,0.17,0.0,0.07,0.13,0.22,0.0,0.17,0.31,1.0,0.0,0.08,0.19,0.32,0.0,0.22,0.44,1.0,0.0
KZ Okpala,MIA,SF,OUT,True,21,0,246,11,210,10,2,0,28,14,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.08,0.0,0.0,0.31,0.39,0.0,0.0,0.3,0.07,0.0,0.0,0.37,0.31,0.0,0.0
Joe Wieskamp,SAS,SF,ACTIVE,False,13,0,78,6,66,5,10,0,70,7,63,6,5,0,39,7,24,4,2,0,12,6,5,2,0.3,0.62,0.62,0.4,0.0,0.0,0.0,0.0,0.08,0.2,0.21,0.11,0.17,0.19,0.17,0.22,0.09,0.21,0.14,0.05,0.19,0.19,0.07,0.06
Nick Richards,CHA,C,ACTIVE,False,32,5,289,9,335,10,6,0,53,8,70,11,1,0,2,2,0,0,1,0,2,2,0,0,0.74,0.38,0.12,0.2,0.16,0.0,0.0,0.0,0.31,0.15,0.01,0.02,0.25,0.22,0.05,0.07,0.47,0.23,0.0,0.0,0.37,0.34,0.0,0.0
Leandro Bolmaro,MIN,SG,ACTIVE,False,24,2,188,7,114,4,4,0,14,3,8,2,1,0,2,2,0,0,1,0,2,2,0,0,0.56,0.25,0.12,0.2,0.06,0.0,0.0,0.0,0.2,0.04,0.01,0.02,0.19,0.08,0.05,0.07,0.16,0.03,0.0,0.0,0.15,0.06,0.0,0.0
Al-Farouq Aminu,BOS,PF,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vernon Carey Jr.,CHA,C,ACTIVE,False,2,1,12,6,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.3,0.0,0.0,0.0
Abdel Nader,PHO,SF,OUT,True,14,0,146,10,106,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.26,0.0,0.0,0.0
Jericho Sims,NYK,PF,ACTIVE,False,14,0,90,6,74,5,5,0,32,6,25,5,4,0,10,2,3,0,1,0,4,4,0,0,0.33,0.31,0.5,0.2,0.0,0.0,0.0,0.0,0.1,0.09,0.05,0.04,0.17,0.17,0.05,0.15,0.1,0.08,0.02,0.0,0.19,0.16,0.0,0.0
Marquese Chriss,DAL,PF,ACTIVE,False,13,0,147,11,205,15,12,0,131,10,179,14,5,0,46,9,66,13,2,0,22,11,37,18,0.3,0.75,0.62,0.4,0.0,0.0,0.0,0.0,0.16,0.38,0.25,0.21,0.31,0.28,0.22,0.41,0.29,0.59,0.37,0.38,0.56,0.44,0.23,0.51
Isaiah Livers,DET,PF,OUT,True,1,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
Semi Ojeleye,MIL,PF,ACTIVE,False,17,0,293,17,190,11,5,0,57,11,32,6,3,0,30,10,9,3,0,0,0,0,0,0,0.4,0.31,0.38,0.0,0.0,0.0,0.0,0.0,0.32,0.17,0.16,0.0,0.47,0.31,0.24,0.0,0.27,0.11,0.05,0.0,0.41,0.19,0.05,0.0
Santi Aldama,MEM,PF,ACTIVE,False,25,0,262,10,270,10,9,0,106,11,82,9,6,0,63,10,44,7,3,0,22,7,17,5,0.58,0.56,0.75,0.6,0.0,0.0,0.0,0.0,0.28,0.31,0.34,0.21,0.28,0.31,0.24,0.26,0.38,0.27,0.25,0.17,0.37,0.28,0.12,0.14
Tony Snell,POR,SG,ACTIVE,False,32,7,423,13,223,6,9,3,140,15,80,8,6,0,93,15,47,7,3,0,58,19,28,9,0.74,0.56,0.75,0.6,0.22,0.27,0.0,0.0,0.46,0.41,0.5,0.55,0.36,0.42,0.37,0.7,0.32,0.26,0.27,0.29,0.22,0.25,0.12,0.26
Edmond Sumner,BKN,SG,OUT,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Fernando,BOS,C,ACTIVE,False,14,0,40,2,27,1,5,0,14,2,16,3,3,0,8,2,9,3,1,0,3,3,4,4,0.33,0.31,0.38,0.2,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.03,0.06,0.06,0.05,0.11,0.04,0.05,0.05,0.04,0.04,0.09,0.05,0.11
Naji Marshall,NOP,SF,ACTIVE,False,23,0,220,9,231,10,4,0,12,3,16,4,3,0,9,3,14,4,1,0,2,2,3,3,0.53,0.25,0.38,0.2,0.0,0.0,0.0,0.0,0.24,0.04,0.05,0.02,0.25,0.08,0.07,0.07,0.33,0.05,0.08,0.03,0.37,0.12,0.07,0.09
Alfonzo McKinnie,CHI,SF,ACTIVE,False,12,3,183,15,131,10,9,3,108,12,81,9,8,3,101,12,76,9,4,3,66,16,41,10,0.28,0.56,1.0,0.8,0.09,0.27,0.5,1.0,0.2,0.32,0.54,0.63,0.42,0.33,0.29,0.59,0.19,0.27,0.43,0.42,0.37,0.28,0.16,0.29
Joe Johnson,BOS,SG,ACTIVE,False,1,0,2,2,3,3,1,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.11,0.09,0.0,0.0
Nathan Knight,MIN,C,ACTIVE,False,21,2,183,8,233,11,9,2,123,13,154,17,3,0,10,3,12,4,1,0,3,3,7,7,0.49,0.56,0.38,0.2,0.06,0.18,0.0,0.0,0.2,0.36,0.05,0.03,0.22,0.36,0.07,0.11,0.33,0.51,0.07,0.07,0.41,0.53,0.07,0.2
Ryan Arcidiacono,NYK,PG,OUT,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Killian Tillie,MEM,C,OUT,True,26,3,353,13,267,10,8,3,164,20,124,15,2,1,41,20,31,15,0,0,0,0,0,0,0.6,0.5,0.25,0.0,0.09,0.27,0.17,0.0,0.38,0.48,0.22,0.0,0.36,0.56,0.49,0.0,0.38,0.41,0.18,0.0,0.37,0.47,0.27,0.0
Ed Davis,CLE,PF,ACTIVE,False,13,2,114,8,107,8,2,0,7,3,-1,0,1,0,2,2,0,0,1,0,2,2,0,0,0.3,0.12,0.12,0.2,0.06,0.0,0.0,0.0,0.12,0.02,0.01,0.02,0.22,0.08,0.05,0.07,0.15,-0.0,0.0,0.0,0.3,0.0,0.0,0.0
Theo Pinson,DAL,SG,ACTIVE,False,10,0,94,9,84,8,9,0,72,8,57,6,2,0,4,2,0,0,0,0,0,0,0,0,0.23,0.56,0.25,0.0,0.0,0.0,0.0,0.0,0.1,0.21,0.02,0.0,0.25,0.22,0.05,0.0,0.12,0.19,0.0,0.0,0.3,0.19,0.0,0.0
Cassius Stanley,DET,SG,ACTIVE,False,7,1,141,20,103,14,7,1,141,20,103,14,4,0,59,14,39,9,2,0,36,18,22,11,0.16,0.44,0.5,0.4,0.03,0.09,0.0,0.0,0.15,0.41,0.32,0.34,0.56,0.56,0.34,0.67,0.15,0.34,0.22,0.22,0.52,0.44,0.16,0.31
Devon Dotson,CHI,PG,ACTIVE,False,11,0,85,7,71,6,5,0,23,4,23,4,4,0,20,5,21,5,1,0,8,8,5,5,0.26,0.31,0.5,0.2,0.0,0.0,0.0,0.0,0.09,0.07,0.11,0.08,0.19,0.11,0.12,0.3,0.1,0.08,0.12,0.05,0.22,0.12,0.09,0.14
Chris Chiozza,GSW,PG,ACTIVE,False,23,1,245,10,156,6,9,0,71,7,32,3,5,0,38,7,23,4,3,0,21,7,6,2,0.53,0.56,0.62,0.6,0.03,0.0,0.0,0.0,0.26,0.21,0.2,0.2,0.28,0.19,0.17,0.26,0.22,0.11,0.13,0.06,0.22,0.09,0.07,0.06
Jake Layman,MIN,SF,ACTIVE,False,19,1,159,8,116,6,7,1,97,13,79,11,3,0,11,3,4,1,1,0,3,3,1,1,0.44,0.44,0.38,0.2,0.03,0.09,0.0,0.0,0.17,0.28,0.06,0.03,0.22,0.36,0.07,0.11,0.16,0.26,0.02,0.01,0.22,0.34,0.02,0.03
Jeff Teague,MIL,PG,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vlatko Cancar,DEN,SF,OUT,True,14,1,152,10,142,10,5,1,77,15,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.31,0.0,0.0,0.03,0.09,0.0,0.0,0.16,0.23,0.0,0.0,0.28,0.42,0.0,0.0,0.2,0.26,0.0,0.0,0.37,0.5,0.0,0.0
CJ Elleby,POR,SG,ACTIVE,False,24,0,250,10,231,9,10,0,175,17,166,16,6,0,110,18,99,16,2,0,36,18,16,8,0.56,0.62,0.75,0.4,0.0,0.0,0.0,0.0,0.27,0.51,0.59,0.34,0.28,0.47,0.44,0.67,0.33,0.55,0.56,0.16,0.33,0.5,0.29,0.23
Jason Preston,LAC,PG,OUT,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Hill,NYK,SF,OUT,True,13,1,139,10,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.19,0.0,0.0,0.0
Trent Forrest,UTA,SG,ACTIVE,False,34,2,302,8,198,5,11,2,137,12,91,8,5,1,63,12,44,8,3,0,22,7,20,6,0.79,0.69,0.62,0.6,0.06,0.18,0.17,0.0,0.33,0.4,0.34,0.21,0.22,0.33,0.29,0.26,0.28,0.3,0.25,0.2,0.19,0.25,0.14,0.17
Markus Howard,DEN,PG,ACTIVE,False,17,0,119,7,108,6,1,0,3,3,4,4,1,0,3,3,4,4,0,0,0,0,0,0,0.4,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.02,0.0,0.19,0.08,0.07,0.0,0.15,0.01,0.02,0.0,0.22,0.12,0.07,0.0
Kelan Martin,IND,SG,ACTIVE,False,27,1,442,16,380,14,3,0,29,9,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.19,0.0,0.0,0.03,0.0,0.0,0.0,0.48,0.08,0.0,0.0,0.44,0.25,0.0,0.0,0.54,0.08,0.0,0.0,0.52,0.22,0.0,0.0
Cameron Oliver,ATL,PF,ACTIVE,False,2,0,43,21,50,25,2,0,43,21,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.0,0.0,0.58,0.58,0.0,0.0,0.07,0.17,0.0,0.0,0.93,0.78,0.0,0.0
Brandon Knight,DAL,PG,ACTIVE,False,3,0,55,18,59,19,3,0,55,18,59,19,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.0,0.0,0.5,0.5,0.0,0.0,0.08,0.19,0.0,0.0,0.7,0.59,0.0,0.0
Nico Mannion,GSW,PG,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McKinley Wright IV,MIN,PG,ACTIVE,False,2,0,7,3,5,2,1,0,3,3,2,2,1,0,3,3,2,2,1,0,3,3,2,2,0.05,0.06,0.12,0.2,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.08,0.08,0.07,0.11,0.01,0.01,0.01,0.02,0.07,0.06,0.04,0.06
Admiral Schofield,ORL,SF,ACTIVE,False,14,1,189,13,158,11,12,1,167,13,145,12,5,0,36,7,37,7,3,0,13,4,10,3,0.33,0.75,0.62,0.6,0.03,0.09,0.0,0.0,0.2,0.49,0.19,0.12,0.36,0.36,0.17,0.15,0.22,0.48,0.21,0.1,0.41,0.38,0.12,0.09
